ZEIT,Endenergieverbrauch nach Sektoren in (GWh) - Gesamt,Endenergieverbrauch nach Sektoren in (GWh) - Gewerbe + Sonstiges,Endenergieverbrauch nach Sektoren in (GWh) - Industrie,Endenergieverbrauch nach Sektoren in (GWh) - Private Haushalte,Endenergieverbrauch nach Sektoren in (GWh) - Verkehr,Endenergieverbrauch nach Sektoren in (GWh) - Zielwert 2030 - Gesamt,Endenergieverbrauch nach Sektoren in (GWh) - Zielwert 2030 - Private Haushalte
1990,6729.05,1920.83,652.17,2076.32,2079.72,,
1995,6653.78,1906.67,647.36,2061.01,2038.74,,
2000,6841.14,2001.0,679.39,2162.98,1997.75,,
2005,6948.59,2062.32,700.21,2229.26,1956.77,,
2010,6652.59,2148.59,499.5,2035.5,1968.99,,
2015,6325.7,1877.74,622.6,1966.48,1858.86,,
2016,6404.44,1973.13,632.35,1928.05,1870.89,,
2017,6472.21,2037.94,672.86,1905.11,1856.28,,
2018,6475.08,1935.42,737.92,1951.51,1850.22,,
2019,6209.49,1852.98,721.55,1795.74,1839.21,,
2020,6199.02,1866.34,685.47,1822.48,1824.72,,
2021,6155.57,1962.22,627.12,1762.78,1803.43,,
2030,2019.0,576.0,196.0,623.0,624.0,2019.0,623.0
